GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research
321,111,3,3.5,4.0,8.83,1
316,111,4,4.0,5.0,8.54,0
303,102,3,3.5,3.0,8.5,0
314,107,2,2.5,4.0,8.27,0
308,106,3,3.5,2.5,8.21,1
316,102,3,2.0,3.0,7.4,0
319,108,2,2.5,3.0,8.76,0
324,111,4,3.0,3.0,9.01,1
311,105,2,3.0,2.0,8.12,1
309,105,5,3.5,3.5,8.56,0
316,100,2,1.5,3.0,8.16,1
334,119,5,4.5,5.0,9.54,1
325,111,4,4.0,4.5,9.11,1
340,120,5,4.5,4.5,9.6,1
298,97,2,2.0,3.0,7.21,0
317,110,3,4.0,4.5,9.11,1
311,104,2,2.5,3.5,8.48,0
329,114,5,4.5,5.0,9.19,1
290,104,4,2.0,2.5,7.46,0
313,107,2,2.5,2.0,8.5,1
313,103,3,4.0,4.0,8.75,0
329,119,4,4.5,4.5,9.16,1
317,106,3,4.0,3.5,8.5,1
324,105,3,3.0,4.0,8.75,0
319,106,3,3.5,2.5,8.33,1
312,110,2,3.5,3.0,8.53,0
316,103,3,3.5,2.0,7.68,0
334,120,5,4.0,5.0,9.87,1
323,113,3,4.0,3.0,9.32,1
297,96,2,2.5,1.5,7.89,0
327,103,3,4.0,4.0,8.3,1
320,110,2,4.0,3.5,8.56,0
320,110,5,4.0,4.0,9.27,1
299,96,2,1.5,2.0,7.86,0
329,110,2,4.0,3.0,9.15,1
298,99,2,4.0,2.0,7.6,0
322,114,5,4.5,4.0,8.94,1
336,119,5,4.0,3.5,9.8,1
319,106,3,4.0,3.0,8.0,1
313,102,3,2.5,2.5,8.68,0
327,114,3,3.0,3.0,9.02,0
305,106,2,3.0,3.0,8.16,0
325,110,4,4.5,4.0,8.96,1
303,99,3,2.0,2.5,7.66,0
335,115,4,4.5,4.5,9.68,1
312,105,2,2.0,2.5,8.45,0
334,119,5,5.0,4.5,9.7,1
324,113,4,4.5,4.0,8.79,0
312,104,3,3.5,4.0,8.09,0
312,106,3,3.0,5.0,8.57,0
330,115,5,4.5,3.0,9.34,1
299,102,3,4.0,3.5,8.62,0
322,110,5,5.0,4.0,9.1,1
317,107,3,4.0,3.0,8.7,0
307,105,4,3.0,3.0,7.94,0
301,104,2,3.5,3.5,7.89,1
322,110,3,3.5,2.5,8.67,1
324,110,4,3.0,3.5,8.97,1
302,99,3,2.5,3.0,7.45,0
309,100,2,3.0,3.0,8.1,0
305,108,5,3.0,3.0,8.48,0
324,111,3,2.5,2.0,8.8,1
316,103,2,2.0,4.5,8.74,0
310,99,2,1.5,2.0,7.3,0
317,106,1,1.5,3.5,7.65,1
311,103,3,2.0,4.0,8.09,0
322,109,5,4.5,3.5,8.8,0
